"id","file","status","width","height","frame_layout","pivot_contract","reference_files","generation_tool","model","full_prompt","postprocessing","sha256","raw_generation_sha256","technical_validation","candidate_count","selection_reason"
"event/burnt_l2-v1","assets/event/burnt_l2-v1.png","candidate","137","137","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l2-v2.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Edit target: attached house L2. Make THIS EXACT house a burnt ruin game sprite. Preserve its exact original silhouette, camera, canvas proportions, relative position, wall corners, window and door geometry, base footprint and floor count. Charcoal-black structural timber and exposed roof rafters; partially collapsed roof holes INSIDE the existing roof envelope; visible original recognisable ridge and corner beams. Do not make a new house. Restrained hand painted medieval city-builder sprite, original NW light and muted warm brown palette, no flames, smoke, gore, horror or lettering. Truly transparent RGBA background. One full house sprite only, with source canvas framing. No ground base.","Generated detail registered to original alpha bbox; exact source alpha retained, missing generated areas filled from dimmed source; no pivot shift.","d588b925e5077d6f7878fe3ebb3139b8316e9e9294a655b3a5a9751d12473ccb","4165889f59b30f4c0867fc448547baf6e2ebe8f02d93e07ac78b3162dc84142d","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/burnt_l3-v1","assets/event/burnt_l3-v1.png","candidate","142","142","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l3-v2.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Edit target: attached house L3. Make THIS EXACT house a burnt ruin game sprite. Preserve its exact original silhouette, camera, canvas proportions, relative position, wall corners, window and door geometry, base footprint and floor count. Charcoal-black structural timber and exposed roof rafters; partially collapsed roof holes INSIDE the existing roof envelope; visible original recognisable ridge and corner beams. Do not make a new house. Restrained hand painted medieval city-builder sprite, original NW light and muted warm brown palette, no flames, smoke, gore, horror or lettering. Truly transparent RGBA background. One full house sprite only, with source canvas framing. No ground base.","Generated detail registered to original alpha bbox; exact source alpha retained, missing generated areas filled from dimmed source; no pivot shift.","165ed9ceb6a96cc0e171495e9d8a9aec8b520dc72a8eb6abf64e3ac92cc0aefa","2714400ded96ca636b63670fe692a04553ef25ea4c9f8478b0b408a83e291d78","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/burnt_l4-v1","assets/event/burnt_l4-v1.png","candidate","161","161","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l4-v2.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Edit target: attached house L4. Make THIS EXACT house a burnt ruin game sprite. Preserve its exact original silhouette, camera, canvas proportions, relative position, wall corners, window and door geometry, base footprint and floor count. Charcoal-black structural timber and exposed roof rafters; partially collapsed roof holes INSIDE the existing roof envelope; visible original recognisable ridge and corner beams. Do not make a new house. Restrained hand painted medieval city-builder sprite, original NW light and muted warm brown palette, no flames, smoke, gore, horror or lettering. Truly transparent RGBA background. One full house sprite only, with source canvas framing. No ground base.","Generated detail registered to original alpha bbox; exact source alpha retained, missing generated areas filled from dimmed source; no pivot shift.","8d0963d461dba08d9f99bdff88746dd25e7b7a77d850f4b6c9e65ec001dd3ea0","2bfa9b4131390432714717f045a40a6a4b94f05901af83a774f756c23d78f3b5","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/crowd_manor_gate-v1","assets/event/crowd_manor_gate-v1.png","candidate","192","128","single","canvas coordinates; see README","actor_civilian_man-v1.png;actor_civilian_woman-v1.png","built-in image_gen","tool-managed; model not exposed","Use case: stylized-concept. Primary request: A small gathering of 12 ordinary medieval peasants and townspeople facing toward an unseen manor gate at upper right. Muted clothed silhouettes, petitioning quietly, caps held or hands clasped, loose orderly semicircle, no riot, weapons, flags, signs or exaggerated anger. 192x128 isometric distant crowd decal on transparency. No gate or building or ground platform. Asset is a candidate PNG for a restrained medieval isometric city-builder. Match the attached project sprite references: muted earth palette, tiny detailed painterly pixels, northwest light, readable at small game scale. No text, lettering, border, UI, gore, bodies, skeletons or horror. True transparent RGBA background except full-tile field strips. Output one requested asset, no extra objects.","Generated transparent sprite alpha-bbox fit without distortion into prescribed canvas, 2px minimum margin; invisible RGB cleared.","4702bfbc032f2c8d0b7ad94503fe4381704890122a64a699011997cf104939d1","8fe3bc02579782be7367db40c56f8d40f818b6fe090b10d9e27a1b43e6cf7480","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/fire_roof_l0-v1","assets/event/fire_roof_l0-v1.png","candidate","153","153","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l0-v3.png;fire_large.png","built-in image_gen","tool-managed; model not exposed","Use case: compositing. Create ONLY a transparent roof-fire overlay for attached house L0. Input1 is alignment reference: absolutely fixed camera, roof coordinates, exact source canvas framing. Input2 is the required existing hand-painted fire style. In final overlay DELETE THE HOUSE and preserve just restrained flame clusters sitting on that exact roof, with small warm embers and no smoke. Leave all unpainted pixels genuinely transparent, no checkerboard, black or white background. No text or border. Flames should remain compact, not an explosion; preserve broad roof silhouette readability when overlay is placed at (0,0) over source. Do not include any house, roof, wall or ground pixels in output.","Generated flame-only layer registered to source roof bounds on unchanged source canvas, identity (0,0) placement.","35d06df281e1c66e87efe1dcf70443150ef50d4ee132278bb6a0282ff999c6b8","2bb86973bd62afa7878d193dfd03771090e4c95499fe04ec2761f76b584b1102","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/fire_roof_l1-v1","assets/event/fire_roof_l1-v1.png","candidate","139","139","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l1-v2.png;fire_large.png","built-in image_gen","tool-managed; model not exposed","Use case: compositing. Create ONLY a transparent roof-fire overlay for attached house L1. Input1 is alignment reference: absolutely fixed camera, roof coordinates, exact source canvas framing. Input2 is the required existing hand-painted fire style. In final overlay DELETE THE HOUSE and preserve just restrained flame clusters sitting on that exact roof, with small warm embers and no smoke. Leave all unpainted pixels genuinely transparent, no checkerboard, black or white background. No text or border. Flames should remain compact, not an explosion; preserve broad roof silhouette readability when overlay is placed at (0,0) over source. Do not include any house, roof, wall or ground pixels in output.","Generated flame-only layer registered to source roof bounds on unchanged source canvas, identity (0,0) placement.","cd67afda19281fbd6df1bba535cbf779c64176541767e3e2c42145c00626873b","231cfe3234dda3df153d78ca667002a7f9f7b521dab2225114cb33333539dea0","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/fire_roof_l2-v1","assets/event/fire_roof_l2-v1.png","candidate","137","137","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l2-v2.png;fire_large.png","built-in image_gen","tool-managed; model not exposed","Use case: compositing. Create ONLY a transparent roof-fire overlay for attached house L2. Input1 is alignment reference: absolutely fixed camera, roof coordinates, exact source canvas framing. Input2 is the required existing hand-painted fire style. In final overlay DELETE THE HOUSE and preserve just restrained flame clusters sitting on that exact roof, with small warm embers and no smoke. Leave all unpainted pixels genuinely transparent, no checkerboard, black or white background. No text or border. Flames should remain compact, not an explosion; preserve broad roof silhouette readability when overlay is placed at (0,0) over source. Do not include any house, roof, wall or ground pixels in output.","Generated flame-only layer registered to source roof bounds on unchanged source canvas, identity (0,0) placement.","1e70a78c1509d1fd579185a1376c054f0d1d2f7b74099575ed7bd1d669fef065","16ebcb0cbcc939d6ca2b7cb5cc70937ee5c6de8bbd5346894ac4393aebe9dcfe","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/fire_roof_l3-v1","assets/event/fire_roof_l3-v1.png","candidate","142","142","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l3-v2.png;fire_large.png","built-in image_gen","tool-managed; model not exposed","Use case: compositing. Create ONLY a transparent roof-fire overlay for attached house L3. Input1 is alignment reference: absolutely fixed camera, roof coordinates, exact source canvas framing. Input2 is the required existing hand-painted fire style. In final overlay DELETE THE HOUSE and preserve just restrained flame clusters sitting on that exact roof, with small warm embers and no smoke. Leave all unpainted pixels genuinely transparent, no checkerboard, black or white background. No text or border. Flames should remain compact, not an explosion; preserve broad roof silhouette readability when overlay is placed at (0,0) over source. Do not include any house, roof, wall or ground pixels in output.","Generated flame-only layer registered to source roof bounds on unchanged source canvas, identity (0,0) placement.","fa81c864059b00e2c848e3537ad461b7cf7f80ca6ec8535340159c88d8d79d1d","4cf395052e2cfb017e7782444e9d87288a11cd974bf0e84aedf3324edeb1dbaa","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/fire_roof_l4-v1","assets/event/fire_roof_l4-v1.png","candidate","161","161","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l4-v2.png;fire_large.png","built-in image_gen","tool-managed; model not exposed","Use case: compositing. Create ONLY a transparent roof-fire overlay for attached house L4. Input1 is alignment reference: absolutely fixed camera, roof coordinates, exact source canvas framing. Input2 is the required existing hand-painted fire style. In final overlay DELETE THE HOUSE and preserve just restrained flame clusters sitting on that exact roof, with small warm embers and no smoke. Leave all unpainted pixels genuinely transparent, no checkerboard, black or white background. No text or border. Flames should remain compact, not an explosion; preserve broad roof silhouette readability when overlay is placed at (0,0) over source. Do not include any house, roof, wall or ground pixels in output.","Generated flame-only layer registered to source roof bounds on unchanged source canvas, identity (0,0) placement.","c781a944952b7d07e1ca7c844da8cc831eb3faa99f824c7bc51ef5fc43c7ab17","d364fbd0a61293f255d49140eab66f048ac277e7ebef69ef4f4c1ac61e9c61b7","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/plague_door_mark-v1","assets/event/plague_door_mark-v1.png","candidate","32","48","single","canvas coordinates; see README","house_l1-v2.png","built-in image_gen","tool-managed; model not exposed","Use case: stylized-concept. Primary request: Only a simple hand-painted faded ochre cross mark intended to overlay a timber door. Two uneven brush strokes, discreet weathered pigment, small narrow vertical cross at middle of 32x48 transparent canvas. No door, plaque, background, text, ornament or horror. Asset is a candidate PNG for a restrained medieval isometric city-builder. Match the attached project sprite references: muted earth palette, tiny detailed painterly pixels, northwest light, readable at small game scale. No text, lettering, border, UI, gore, bodies, skeletons or horror. True transparent RGBA background except full-tile field strips. Output one requested asset, no extra objects.","Generated transparent sprite alpha-bbox fit without distortion into prescribed canvas, 2px minimum margin; invisible RGB cleared.","8a10a7ab8da2685b10e77df43d1c7979008bb91a67f35eca10fbb2be0f6eea63","35437cf021cc0c10a41d9d2660613655faee120e4664c6eb9945e19f3b8a77db","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/plague_shut_l1-v1","assets/event/plague_shut_l1-v1.png","candidate","139","139","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l1-v2.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Produce ONLY an aligned transparent overlay for the attached house L1. Add closed dark weathered timber shutters exactly within its existing window openings, and a discreet small faded ochre cross painted on its existing door. Keep exact source framing and coordinates. Final output ONLY shutter boards and the door cross, all other areas genuinely transparent; no house or wall or door background. No new windows, no shifted openings. Restrained historical city-builder sprite, same hand painted detail and NW lighting. No gore, bodies, spooky effects, signage or text.","Generated shutter texture clipped into hand-registered original window polygons; small painted ochre door cross; source canvas unchanged.","56ff9412f3c73312f625063c1067cb5a472b119b1214dfe3ba3adc342f10875d","f6d280c2855148047c08dc2124d72a819d390b0a6ecf03bb31bea12f24e26654","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/plague_shut_l2-v1","assets/event/plague_shut_l2-v1.png","candidate","137","137","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l2-v2.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Produce ONLY an aligned transparent overlay for the attached house L2. Add closed dark weathered timber shutters exactly within its existing window openings, and a discreet small faded ochre cross painted on its existing door. Keep exact source framing and coordinates. Final output ONLY shutter boards and the door cross, all other areas genuinely transparent; no house or wall or door background. No new windows, no shifted openings. Restrained historical city-builder sprite, same hand painted detail and NW lighting. No gore, bodies, spooky effects, signage or text.","Generated shutter texture clipped into hand-registered original window polygons; small painted ochre door cross; source canvas unchanged.","4df85ecd575b1b3e444ebcd773f85fea4d03f587542130c4071513983b2531d4","7b6cc232c77cf683322342de74258a9af6a58ab409c9f1bd6f48f22e018873e8","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"event/plague_shut_l3-v1","assets/event/plague_shut_l3-v1.png","candidate","142","142","single","Identity canvas placement (0,0); inherit EXACT source pivot, no numeric pivot supplied.","house_l3-v2.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Produce ONLY an aligned transparent overlay for the attached house L3. Add closed dark weathered timber shutters exactly within its existing window openings, and a discreet small faded ochre cross painted on its existing door. Keep exact source framing and coordinates. Final output ONLY shutter boards and the door cross, all other areas genuinely transparent; no house or wall or door background. No new windows, no shifted openings. Restrained historical city-builder sprite, same hand painted detail and NW lighting. No gore, bodies, spooky effects, signage or text.","Generated shutter texture clipped into hand-registered original window polygons; small painted ochre door cross; source canvas unchanged.","726b5eb46378cdff51afa6d884f6980cc5fe06b6da0351637569f185e0d02598","716a3d7a5dce780955bda439dd285e81fe98a42a4a268e14c19898891d3c55e0","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"field/ridge_blighted_a-v1","assets/field/ridge_blighted_a-v1.png","candidate","512","64","single","canvas coordinates; see README","ridge_growing_a-v1.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Primary request: EDIT the supplied exact 512x64 field strip in place. Preserve two horizontal ridge rows and soil bands. Rain-flattened wheat leaning right, dark rotten seedheads, brown-black wet stalks. Full canvas painted tile, no transparent outer margin. Tile seamlessly in X only, left edge matches right, no decorative border. Variant A: flattened ochre stalks still readable. Asset is a candidate PNG for a restrained medieval isometric city-builder. Match the attached project sprite references: muted earth palette, tiny detailed painterly pixels, northwest light, readable at small game scale. No text, lettering, border, UI, gore, bodies, skeletons or horror. True transparent RGBA background except full-tile field strips. Output one requested asset, no extra objects.","Removed generator transparent margins, fitted strip to512x64, composited edge alpha over source fallow soil; A muted/darkened for blight; 16px symmetric edge crossfade, matching X boundary.","8284d5de9636f7614e1737d97c8e70a7d4a12f17cd420d6f4914fcbe94a60086","4bb36a093ee73cf6ea43e6b4b433f5f9c877c2dff57a2d8c373df07482a9a776","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"field/ridge_blighted_b-v1","assets/field/ridge_blighted_b-v1.png","candidate","512","64","single","canvas coordinates; see README","ridge_growing_a-v1.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Primary request: EDIT the supplied exact 512x64 field strip in place. Preserve two horizontal ridge rows and soil bands. Variant B: more sparsely collapsed blackened rotten wheat, damp muddy brown soil, no healthy golden crop. Full canvas tile, no transparent margin, seamless in X, exact matching left/right edge. Asset is a candidate PNG for a restrained medieval isometric city-builder. Match the attached project sprite references: muted earth palette, tiny detailed painterly pixels, northwest light, readable at small game scale. No text, lettering, border, UI, gore, bodies, skeletons or horror. True transparent RGBA background except full-tile field strips. Output one requested asset, no extra objects.","Removed generator transparent margins, fitted strip to512x64, composited edge alpha over source fallow soil; A muted/darkened for blight; 16px symmetric edge crossfade, matching X boundary.","a8330ad4df929f0c8437fc885ef44d55bd89875420e5eafb3e04ab6589a6e1d8","46844fd7a329d210c9eb8ccdca0abd1732046b66fea6365bf2023a114d93ca97","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"field/ridge_flooded-v1","assets/field/ridge_flooded-v1.png","candidate","512","64","single","canvas coordinates; see README","ridge_fallow_a-v1.png","built-in image_gen","tool-managed; model not exposed","Use case: precise-object-edit. Primary request: EDIT supplied 512x64 field strip into flooded furrows. Same two horizontal soil ridges, shallow gray-blue rainwater pooled in lower bands, a few straw tips. Full canvas painted tile; tile seamlessly X with matching left/right edges; no white margin, waves, ocean or frame. Asset is a candidate PNG for a restrained medieval isometric city-builder. Match the attached project sprite references: muted earth palette, tiny detailed painterly pixels, northwest light, readable at small game scale. No text, lettering, border, UI, gore, bodies, skeletons or horror. True transparent RGBA background except full-tile field strips. Output one requested asset, no extra objects.","Removed generator transparent margins, fitted strip to512x64, composited edge alpha over source fallow soil; A muted/darkened for blight; 16px symmetric edge crossfade, matching X boundary.","d51c59506546e0919dc13bc0539f07839aef731ad665d167a3270aa6a42f32ba","cbcfc0e1a8a839a95ba0201ffc28691d575bc3d463fccf1abd2c110c5a38304b","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
"fx/black_smoke_column_sheet-v1","assets/fx/black_smoke_column_sheet-v1.png","candidate","384","192","4 columns x1 row","canvas coordinates; see README","fire_large.png","built-in image_gen","tool-managed; model not exposed","Use case: stylized-concept. Primary request: Four animation frames of a restrained dark charcoal smoke column rising vertically, each frame 96x192, arranged in ONE HORIZONTAL ROW. Each plume rooted at same bottom-center pixel, billowing slightly across frames, smoky semitransparent edges. Smoke only, no fire, building or ground. Black-gray smoke recognizable without cartoon mushroom explosion. Asset is a candidate PNG for a restrained medieval isometric city-builder. Match the attached project sprite references: muted earth palette, tiny detailed painterly pixels, northwest light, readable at small game scale. No text, lettering, border, UI, gore, bodies, skeletons or horror. True transparent RGBA background except full-tile field strips. Output one requested asset, no extra objects.","Four source frame cells separated; cropped alpha each, registered to common bottom, 96x192 each, horizontal 384x192 sheet.","28d40e5b07d47baf3a859c8c791c155227b7ad1f8dae219c9af0f7ac99eaed30","eabb9c5e320efcea2e5903392af96038f4abad1973aad1ee922002e9ee610c64","PASS","1","One generated candidate; source-registered finishing; restrained style and required role."
