"id","file","kind","status","sha256","full_prompt","processing"
"smithy_b_active","assets/active/smithy_b-active-v1.png","overlay","candidate-rework","9205e881425e0defe85a552668b4df9ad661527b98fb13cc636c9dbe1839c2fc","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A BROAD pale grey hearth SMOKE plume tapering to a single bottom emission point, substantial readable silhouette, NO chimney/roof/background. COLUMN 2: A LARGE GLOWING FORGE HEARTH interior with broad orange-hot coals and several yellow-orange FLAMES and flying sparks, dark firebox cavity behind, no wall or building, warm amber light at edges.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"cordwainer","assets/bld/cordwainer-v1.png","base","approved-preserved","44567853642d5ecb8ee19d9ec4e0f41897736ca8ac5d5745a9dfdd64e2d89b9f","unchanged from approved Wave12","byte-for-byte copy"
"cordwainer_active","assets/active/cordwainer-active-v1.png","overlay","candidate-rework","3a81e27ca3bba621a40323e1880bbb4c87aeda244786c37ac01cbae120881ea2","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: OPEN wooden shop shutter with both leaves visibly folded outward around DARK OPEN INTERIOR, no wall. COLUMN 2: A large FRONT DISPLAY COUNTER with SIX substantial medieval brown leather SHOES, arranged prominently, light buff countercloth, clearly readable silhouette.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"tailor","assets/bld/tailor-v1.png","base","approved-preserved","aa9b26d7203f1c6814cfe2a26d0f97c6ab1ac1da0bad053f4dab18e3005f0146","unchanged from approved Wave12","byte-for-byte copy"
"tailor_active","assets/active/tailor-active-v1.png","overlay","candidate-rework","2dafff1d474cea7cb6bae0f39c242b11d7e7059c6efe9a2ff6cbaba533274eae","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: OPEN wooden shop shutter with both leaves visibly folded outward around DARK OPEN INTERIOR, no wall. COLUMN 2: A large FRONT DISPLAY COUNTER prominently draped with broad RUSSET RED and muted OLIVE lengths of CLOTH, big simple folds, cloth hangs over front.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"tannery_a","assets/bld/tannery_a-v1.png","base","approved-preserved","251c4094f59a11eae6df6cfd3ef10db9262ac34fcc77b90a1149c7055e2ec88c","unchanged from approved Wave12","byte-for-byte copy"
"tannery_a_active","assets/active/tannery_a-active-v1.png","overlay","candidate-rework","b90d6a38994e844ac624d1403ef1bf2c4a282ec747d1890208a7161a0325c612","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A BROAD pale-grey STEAM cloud rising from one narrow bottom point, pronounced readable vapour, no container or ground. COLUMN 2: THREE LARGE animal HIDES hanging together from a light oak drying beam, cream and tawny silhouettes, no blood, large clear shapes.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"tannery_b","assets/bld/tannery_b-v1.png","base","approved-preserved","e34ed3dcb6f5874f7ac7c0ca0cb34c9fa68281243e98c967afe48583d07c90e5","unchanged from approved Wave12","byte-for-byte copy"
"tannery_b_active","assets/active/tannery_b-active-v1.png","overlay","candidate-rework","74e4af65e6016e376f301a9874d995601a69e5f1ee99aa7d9ed0565380dcf9ec","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A BROAD pale-grey STEAM cloud rising from one narrow bottom point, pronounced readable vapour, no container or ground. COLUMN 2: THREE LARGE animal HIDES hanging together from a light oak drying beam, cream and tawny silhouettes, no blood, large clear shapes.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"lime_kiln","assets/bld/lime_kiln-v1.png","base","approved-preserved","423509fe49d224d68ed75a02c783226efeaa61d36bb02b0fd8a49b6c7faaffe3","unchanged from approved Wave12","byte-for-byte copy"
"lime_kiln_active","assets/active/lime_kiln-active-v1.png","overlay","approved-preserved","3edba3473dc0f33debbaaa79a4d940f3f7580ec3a88749c97050b2b6c340599b","unchanged from approved Wave12","byte-for-byte copy"
"charcoal_clamp","assets/bld/charcoal_clamp-v1.png","base","approved-preserved","97aedc00809bdf89ad68f8e3faa2cbf4ef94cd5a4d7e41e7a59408967cdfd35e","unchanged from approved Wave12","byte-for-byte copy"
"charcoal_clamp_active","assets/active/charcoal_clamp-active-v1.png","overlay","approved-preserved","013db6798c3b4a4710399056f4ff5d540238f0bd2245c1b69959b445523c60c4","unchanged from approved Wave12","byte-for-byte copy"
"pottery_kiln","assets/bld/pottery_kiln-v1.png","base","approved-preserved","eff1cb20173f85c47bab95f1225524136a84a27727add880a5ee4cb2a101a643","unchanged from approved Wave12","byte-for-byte copy"
"pottery_kiln_active","assets/active/pottery_kiln-active-v1.png","overlay","approved-preserved","5acdfdd6c899e6587de8a49152139e28f27bd9132ff8d0ee831ba09231925101","unchanged from approved Wave12","byte-for-byte copy"
"butcher_shambles","assets/bld/butcher_shambles-v1.png","base","approved-preserved","4c6e2cdc1b1bb0939cf45a4270fa5b4b34ff3ff55b63e4fffa763d3e0d16c281","unchanged from approved Wave12","byte-for-byte copy"
"butcher_shambles_active","assets/active/butcher_shambles-active-v1.png","overlay","candidate-rework","b632fe95d17587aa1513f4dda7e0b561277e8e35ffda900ef48110805793f0cd","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A broad plain dull RED-BROWN fabric awning projecting from an invisible stall beam, two slim wooden supports. No building. COLUMN 2: A large wooden meat COUNTER stocked with several clearly visible muted brown-red cuts and a chopping block. No blood/gore or body parts.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"market_cross_wood","assets/bld/market_cross_wood-v1.png","base","approved-preserved","0c4ac1e67a74162bce14e7d11f1e536d6921a02ce3cbff8719e31ff6fc6fdd2c","unchanged from approved Wave12","byte-for-byte copy"
"market_cross_wood_active","assets/active/market_cross_wood-active-v1.png","overlay","candidate-rework","af6f4cb7b5d0c987478ba800fc387446974e1da2ba0fd4425e37ca648b84dfff","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A small but broad LINEN CANOPY on two slender wooden posts sheltering a low market table, subdued ochre, open sides. COLUMN 2: A CLUSTER of THREE substantial wicker baskets and THREE tied grain sacks with broad ochre silhouettes.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"market_cross_stone","assets/bld/market_cross_stone-v1.png","base","approved-preserved","5583e11a0d6693e93e237d127e2b2fd2a53b8935cfd502a7407b42039b33a858","unchanged from approved Wave12","byte-for-byte copy"
"market_cross_stone_active","assets/active/market_cross_stone-active-v1.png","overlay","candidate-rework","e8c53a1d203e425dab2ab592f10aee41fa00fd0e4b7285dcab4db944430d775d","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A small but broad LINEN CANOPY on two slender wooden posts sheltering a low market table, subdued ochre, open sides. COLUMN 2: A CLUSTER of THREE substantial wicker baskets and THREE tied grain sacks with broad ochre silhouettes.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"almshouse","assets/bld/almshouse-v1.png","base","approved-preserved","9f756b1011dba1d33dca6b87f55079bc8a8ca491edad479d69b39fa4aa5e4a33","unchanged from approved Wave12","byte-for-byte copy"
"almshouse_active","assets/active/almshouse-active-v1.png","overlay","candidate-rework","e0724b8f8bd638d52401fd8fe0b3b5e3420992de44239c276a7272f5150993cd","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. COLUMN 2: An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"hospital","assets/bld/hospital-v1.png","base","approved-preserved","05a89e58b2ed323514db85c52016051f568c3a4c2c0e312818b574821a061fdb","unchanged from approved Wave12","byte-for-byte copy"
"hospital_active","assets/active/hospital-active-v1.png","overlay","candidate-rework","2ec3e41f070a60dc657de4b21c0c467384e70fa65a41dccebfa8676306fb3078","Transparent RGBA active overlay ingredients for attached medieval hospice sprite. Match handpainted muted outlined SW2:1 style. Two equal vertical columns separated by transparent gutter. LEFT: A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. RIGHT: An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference. No building, no chimney, no background, no text. Large bold readable signals at small game size.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"chantry_chapel","assets/bld/chantry_chapel-v1.png","base","approved-preserved","080b53329b83c2d15b6493208379072481adba7abcdf93175ec2aefc7d41be47","unchanged from approved Wave12","byte-for-byte copy"
"chantry_chapel_active","assets/active/chantry_chapel-active-v1.png","overlay","candidate-rework","fa1c59ea6be1df15ae47182b813074aba2bf33fd04bdc4fcf25c3e361707f1d9","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 1 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: OPEN pointed medieval oak DOORWAY: two door leaves visibly swung outward, LARGE warm golden candlelit interior and a short broad amber light spill on threshold. Door unit only without stone wall. Restrained devotional atmosphere.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"manor_house_a","assets/bld/manor_house_a-v1.png","base","approved-preserved","916941e26116e6344755466e902e067b43fe1494994ea74fafe664bb53c6f745","unchanged from approved Wave12","byte-for-byte copy"
"manor_house_a_active","assets/active/manor_house_a-active-v1.png","overlay","candidate-rework","b4f31837396d8e9963005175c9778cbe37dba8f2acf866efcd745a204ef6571d","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. COLUMN 2: An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"manor_house_b","assets/bld/manor_house_b-v1.png","base","approved-preserved","ee3335da84739e139156ed879342ee0312e4a13bd36ee0bf12ce4252fcc3edb4","unchanged from approved Wave12","byte-for-byte copy"
"manor_house_b_active","assets/active/manor_house_b-active-v1.png","overlay","candidate-rework","e3747baeece06683f9aa185095a88f4369b8dbd5fc4241ffad925aea50787372","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. COLUMN 2: An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"guildhall","assets/bld/guildhall-v1.png","base","approved-preserved","ec19064c1cb777ef0e9edf11806b23d1e65e6fbf5fb66b16c452670a06de6c94","unchanged from approved Wave12","byte-for-byte copy"
"guildhall_active","assets/active/guildhall-active-v1.png","overlay","candidate-rework","5b0dcd48a3bfffd51c060191e9a441d46a2187a08c19a37d5da2b30198c0392e","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 3 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. COLUMN 2: An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference. COLUMN 3: A broad muted ochre LINEN MARKET CANOPY on thin oak supports over a well-stocked oak counter with large folded russet and cream cloth and sacks. Compact low stall for underneath arcade, isolated no building.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"tolbooth","assets/bld/tolbooth-v1.png","base","approved-preserved","4443717041eec611380cceab5df39050223ae4d4c981bce160a54ec33dbcfea7","unchanged from approved Wave12","byte-for-byte copy"
"tolbooth_active","assets/active/tolbooth-active-v1.png","overlay","candidate-rework","889843c7e3aef31ccf43f4506a08c9dfa5b246a6db2c938bdeb4180713fb7248","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 3 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. COLUMN 2: An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference. COLUMN 3: A broad muted ochre LINEN MARKET CANOPY on thin oak supports over a well-stocked oak counter with large folded russet and cream cloth and sacks. Compact low stall for underneath arcade, isolated no building.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"tithe_barn","assets/bld/tithe_barn-v1.png","base","approved-preserved","22e65f05f11bf018a02027eceb038146e5bd5533dff856d04be8a7c9f98bd9ff","unchanged from approved Wave12","byte-for-byte copy"
"tithe_barn_active","assets/active/tithe_barn-active-v1.png","overlay","candidate-rework","8e00c4ad287a489766531eaf02c0dffc7626358779b111047d0ccc4099a496b4","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A LARGE OPEN paired oak BARN DOOR, two tall leaves swung wide, deep dark interior behind, no wall or building. COLUMN 2: A wooden two-wheel CART heaped conspicuously with GOLDEN STRAW SHEAVES, SW2:1, large clear straw silhouette, no people.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"bridge_chapel","assets/bld/bridge_chapel-v1.png","base","approved-preserved","aac61294b358f64235c0aff7b75a52a8f500add8bc3155dce91b732580468f2e","unchanged from approved Wave12","byte-for-byte copy"
"bridge_chapel_active","assets/active/bridge_chapel-active-v1.png","overlay","candidate-rework","124418e425dec3508e8d8b6c3df4499c7e24e339183a69efec5ad6bc12324b6a","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 1 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: OPEN pointed medieval oak DOORWAY: two door leaves visibly swung outward, LARGE warm golden candlelit interior and a short broad amber light spill on threshold. Door unit only without stone wall. Restrained devotional atmosphere.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"conduit_house","assets/bld/conduit_house-v1.png","base","approved-preserved","42811aca431c3be1bc0daf9c28f8b7fea6626c5e6e6f2c24158a4b073d356d31","unchanged from approved Wave12","byte-for-byte copy"
"conduit_house_active","assets/active/conduit_house-active-v1.png","overlay","candidate-rework","c02601948d7ce1ea3cf36e9c835f4e04ad5359454411775b1fd3c7cc085bb58a","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A broad clear pale grey-green WATER STREAM cascading from invisible spout into a basin, large bright splash and several ripples, transparent background, no structure. COLUMN 2: Two large oak WATER PAILS on ground with a small puddle and rope handles, SW2:1.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"priory_cell","assets/bld/priory_cell-v1.png","base","approved-preserved","0a212871e6f9396557e2db1798e10065275ab405603d3cf3088b3c305b3e0c5d","unchanged from approved Wave12","byte-for-byte copy"
"priory_cell_active","assets/active/priory_cell-active-v1.png","overlay","candidate-rework","5ddfef85574ebfbf8c5295784da0546eece27525ec59ae432956c9b4a8900c29","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. COLUMN 2: An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"pilgrim_shrine","assets/bld/pilgrim_shrine-v1.png","base","approved-preserved","27f9a582e783549658e29ad34409eb95f2099214e955aeec603d9859e616a509","unchanged from approved Wave12","byte-for-byte copy"
"pilgrim_shrine_active","assets/active/pilgrim_shrine-active-v1.png","overlay","candidate-rework","f6369e0b4f43cef0dc6b3a1e5831ed22045e69c6846a37d992b1b8e111ee5ff9","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A CLUSTER OF SEVEN short votive wax CANDLES with clear warm golden flames and shared restrained amber glow, isolated, no shrine or background. COLUMN 2: One small KNEELING medieval PILGRIM SILHOUETTE in a simple muted brown hooded cloak, hands held in prayer, facing northeast toward an invisible roadside shrine. Side/back SW isometric view, no face detail, calm and reverent. Human scale prop, no ground.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"quay","assets/bld/quay-v1.png","base","approved-preserved","9d6a9985830b6cc6ddfb65f7d670fb9172a6ff3c67d8e3e565e9439bbd74fabf","unchanged from approved Wave12","byte-for-byte copy"
"quay_active","assets/active/quay-active-v1.png","overlay","candidate-rework","d34a1f5d2a563065b0f42e2b66092e5a3289dc55234c9b5422194508c61657b0","Create isolated active-state overlay INGREDIENTS for attached medieval English game sprite, NOT the building itself. True transparent RGBA, match clean handpainted muted outlined style and SW orthographic2:1 perspective. Upper-left light. NO chimney/flue, no background/aura/text. Large SIMPLE high-contrast signals must read after reduction. Layout 2 EQUAL VERTICAL COLUMNS from left to right with wide transparent gutters; each ingredient entirely within its own column. COLUMN 1: A large CLUSTER of three oak barrels and four tied sacks, SW isometric ground plane. COLUMN 2: A SMALL MOORED CLINKER-BUILT ROWBOAT, empty open wooden hull with two seats and coiled mooring rope. Long axis NW-SE, parallel to attached quay water edge. No water, sail, people or background.","Generated independent ingredients alpha-cropped and registered onto unchanged base canvas; no base changes."
"icons_AB","assets/icons/buildings_AB-96.png","icon_sheet","approved-preserved","d36b10a779ea347d67ae2936577a154746134e60858af7237a2ec1a14f210339","unchanged","byte-for-byte copy"
