"id","footprint_x_tiles","footprint_y_tiles","footprint_basis","raw_footprint_projected_width","raw_footprint_projected_depth","canvas_w","canvas_h","pivot_x","pivot_y","base_file","active_file","icon_sheet","icon_x","icon_y","icon_w","icon_h","active_revision","changed_pixels_at_zoom1","self_verdict","signal"
"lime_kiln","2","2","original brief","256","128","288","264","133","255","assets/bld/lime_kiln-v1.png","assets/active/lime_kiln-active-v1.png","assets/icons/buildings_AB-96.png","960","0","96","96","approved-v1","","user-approved","kiln_smoke"
"charcoal_clamp","1","1","original brief","128","64","144","160","74","151","assets/bld/charcoal_clamp-v1.png","assets/active/charcoal_clamp-active-v1.png","assets/icons/buildings_AB-96.png","1056","0","96","96","approved-v1","","user-approved","mound_smoke"
"pottery_kiln","2","2","original brief","256","128","288","252","201","243","assets/bld/pottery_kiln-v1.png","assets/active/pottery_kiln-active-v1.png","assets/icons/buildings_AB-96.png","1152","0","96","96","approved-v1","","user-approved","kiln_smoke"
"butcher_shambles","2","1","original brief","192","96","224","176","67","167","assets/bld/butcher_shambles-v1.png","assets/active/butcher_shambles-active-v1.png","assets/icons/buildings_AB-96.png","1248","0","96","96","rework-v2","916","see self_review.md","A broad plain dull RED-BROWN fabric awning projecting from an invisible stall beam, two slim wooden supports. No building. / A large wooden meat COUNTER stocked with several clearly visible muted brown-red cuts and a chopping block. No blood/gore or body parts."
"market_cross_wood","1","1","original brief","128","64","144","160","69","151","assets/bld/market_cross_wood-v1.png","assets/active/market_cross_wood-active-v1.png","assets/icons/buildings_C-96.png","0","0","96","96","rework-v2","822","see self_review.md","A small but broad LINEN CANOPY on two slender wooden posts sheltering a low market table, subdued ochre, open sides. / A CLUSTER of THREE substantial wicker baskets and THREE tied grain sacks with broad ochre silhouettes."
"market_cross_stone","1","1","original brief","128","64","144","176","71","167","assets/bld/market_cross_stone-v1.png","assets/active/market_cross_stone-active-v1.png","assets/icons/buildings_C-96.png","96","0","96","96","rework-v2","836","see self_review.md","A small but broad LINEN CANOPY on two slender wooden posts sheltering a low market table, subdued ochre, open sides. / A CLUSTER of THREE substantial wicker baskets and THREE tied grain sacks with broad ochre silhouettes."
"almshouse","3","1","original brief","256","128","288","200","76","191","assets/bld/almshouse-v1.png","assets/active/almshouse-active-v1.png","assets/icons/buildings_C-96.png","192","0","96","96","rework-v2","577","see self_review.md","A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. / An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference."
"hospital","3","2","original brief","320","160","352","272","273","263","assets/bld/hospital-v1.png","assets/active/hospital-active-v1.png","assets/icons/buildings_C-96.png","288","0","96","96","rework-v2","778","see self_review.md","A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. / An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference."
"chantry_chapel","1","1","original brief","128","64","160","176","64","167","assets/bld/chantry_chapel-v1.png","assets/active/chantry_chapel-active-v1.png","assets/icons/buildings_C-96.png","384","0","96","96","rework-v2","309","see self_review.md","OPEN pointed medieval oak DOORWAY: two door leaves visibly swung outward, LARGE warm golden candlelit interior and a short broad amber light spill on threshold. Door unit only without stone wall. Restrained devotional atmosphere."
"manor_house_a","3","3","original brief","384","192","416","328","249","319","assets/bld/manor_house_a-v1.png","assets/active/manor_house_a-active-v1.png","assets/icons/buildings_D-96.png","0","0","96","96","rework-v2","916","see self_review.md","A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. / An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference."
"manor_house_b","3","3","original brief","384","192","416","328","251","319","assets/bld/manor_house_b-v1.png","assets/active/manor_house_b-active-v1.png","assets/icons/buildings_D-96.png","96","0","96","96","rework-v2","942","see self_review.md","A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. / An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference."
"guildhall","3","2","original brief","320","160","352","300","107","291","assets/bld/guildhall-v1.png","assets/active/guildhall-active-v1.png","assets/icons/buildings_D-96.png","192","0","96","96","rework-v2","2653","see self_review.md","A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. / An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference. / A broad muted ochre LINEN MARKET CANOPY on thin oak supports over a well-stocked oak counter with large folded russet and cream cloth and sacks. Compact low stall for underneath arcade, isolated no building."
"tolbooth","2","2","original brief","256","128","288","292","104","283","assets/bld/tolbooth-v1.png","assets/active/tolbooth-active-v1.png","assets/icons/buildings_D-96.png","288","0","96","96","rework-v2","1773","see self_review.md","A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. / An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference. / A broad muted ochre LINEN MARKET CANOPY on thin oak supports over a well-stocked oak counter with large folded russet and cream cloth and sacks. Compact low stall for underneath arcade, isolated no building."
"tithe_barn","4","2","original brief","384","192","416","264","116","255","assets/bld/tithe_barn-v1.png","assets/active/tithe_barn-active-v1.png","assets/icons/buildings_D-96.png","384","0","96","96","rework-v2","1384","see self_review.md","A LARGE OPEN paired oak BARN DOOR, two tall leaves swung wide, deep dark interior behind, no wall or building. / A wooden two-wheel CART heaped conspicuously with GOLDEN STRAW SHEAVES, SW2:1, large clear straw silhouette, no people."
"bridge_chapel","1","1","new intended module footprint: 1x1 chapel, adjacent bridge excluded","128","64","160","192","59","183","assets/bld/bridge_chapel-v1.png","assets/active/bridge_chapel-active-v1.png","assets/icons/buildings_D-96.png","480","0","96","96","rework-v2","280","see self_review.md","OPEN pointed medieval oak DOORWAY: two door leaves visibly swung outward, LARGE warm golden candlelit interior and a short broad amber light spill on threshold. Door unit only without stone wall. Restrained devotional atmosphere."
"conduit_house","1","1","original brief","128","64","160","176","69","167","assets/bld/conduit_house-v1.png","assets/active/conduit_house-active-v1.png","assets/icons/buildings_D-96.png","576","0","96","96","rework-v2","358","see self_review.md","A broad clear pale grey-green WATER STREAM cascading from invisible spout into a basin, large bright splash and several ripples, transparent background, no structure. / Two large oak WATER PAILS on ground with a small puddle and rope handles, SW2:1."
"priory_cell","4","3","original brief","448","224","480","352","284","343","assets/bld/priory_cell-v1.png","assets/active/priory_cell-active-v1.png","assets/icons/buildings_D-96.png","672","0","96","96","rework-v2","1142","see self_review.md","A BROAD pale grey gently curling hearth SMOKE plume, tapering to a SINGLE bottom emission point. No chimney, roof or structure. Clearly readable substantial light grey smoke, not faint wisps. / An OPEN oak double DOOR portal: both leaves swung outward, a dark amber interior brilliantly lit by warm hearth light, broad GOLDEN LIGHT spilling onto threshold. Isolated door unit only, no wall or building. Same isometric facade as reference."
"pilgrim_shrine","1","1","original brief","128","64","144","160","72","151","assets/bld/pilgrim_shrine-v1.png","assets/active/pilgrim_shrine-active-v1.png","assets/icons/buildings_D-96.png","768","0","96","96","rework-v2","440","see self_review.md","A CLUSTER OF SEVEN short votive wax CANDLES with clear warm golden flames and shared restrained amber glow, isolated, no shrine or background. / One small KNEELING medieval PILGRIM SILHOUETTE in a simple muted brown hooded cloak, hands held in prayer, facing northeast toward an invisible roadside shrine. Side/back SW isometric view, no face detail, calm and reverent. Human scale prop, no ground."
"quay","2","2","new intended module footprint: 2x2 envelope for256x128 module","256","128","256","128","68","119","assets/bld/quay-v1.png","assets/active/quay-active-v1.png","assets/icons/buildings_D-96.png","864","0","96","96","rework-v2","1167","see self_review.md","A large CLUSTER of three oak barrels and four tied sacks, SW isometric ground plane. / A SMALL MOORED CLINKER-BUILT ROWBOAT, empty open wooden hull with two seats and coiled mooring rope. Long axis NW-SE, parallel to attached quay water edge. No water, sail, people or background."
