"logical_id","kind","label","status","code_only","layer_files","mask_files","notes"
"pt_hair_f_01","hair","center-parted smooth hair tied into a low bun","candidate","false","layers/pt_hair_f_01.png;layers/pt_hair_f_01_rear.png","masks/pt_hair_f_01_haircolor.png;masks/pt_hair_f_01_rear_haircolor.png","기본 색상: dark brown"
"pt_hair_f_02","hair","braids pinned and coiled up at the back","candidate","false","layers/pt_hair_f_02.png;layers/pt_hair_f_02_rear.png","masks/pt_hair_f_02_haircolor.png;masks/pt_hair_f_02_rear_haircolor.png","기본 색상: auburn"
"pt_hair_f_03","hair","loose long hair flowing behind shoulders","candidate","false","layers/pt_hair_f_03.png;layers/pt_hair_f_03_rear.png","masks/pt_hair_f_03_haircolor.png;masks/pt_hair_f_03_rear_haircolor.png","기본 색상: golden brown"
"pt_hair_f_04","hair","베일 아래 최소 머리","candidate","false","layers/pt_hair_f_04.png;layers/pt_hair_f_04_rear.png","masks/pt_hair_f_04_haircolor.png;masks/pt_hair_f_04_rear_haircolor.png","기본 색상: brown; 선택된 생성 리비전: 3"
"pt_hair_f_05","hair","윔플 아래 최소 머리","candidate","false","layers/pt_hair_f_05.png;layers/pt_hair_f_05_rear.png","masks/pt_hair_f_05_haircolor.png;masks/pt_hair_f_05_rear_haircolor.png","기본 색상: dark brown; 선택된 생성 리비전: 3"
"pt_hair_f_06","hair","minimal narrow center part with tucked sides for under a head covering","candidate","false","layers/pt_hair_f_06.png;layers/pt_hair_f_06_rear.png","masks/pt_hair_f_06_haircolor.png;masks/pt_hair_f_06_rear_haircolor.png","기본 색상: auburn"
"pt_hair_f_07","hair","grey center-parted hair tied low","candidate","false","layers/pt_hair_f_07.png;layers/pt_hair_f_07_rear.png","masks/pt_hair_f_07_haircolor.png;masks/pt_hair_f_07_rear_haircolor.png","기본 색상: grey"
"pt_hair_f_08","hair","grey swept-back hair tied into a higher coil","candidate","false","layers/pt_hair_f_08.png;layers/pt_hair_f_08_rear.png","masks/pt_hair_f_08_haircolor.png;masks/pt_hair_f_08_rear_haircolor.png","기본 색상: grey"
"pt_hair_f_09","hair","child short bob ending above neck","candidate","false","layers/pt_hair_f_09.png;layers/pt_hair_f_09_rear.png","masks/pt_hair_f_09_haircolor.png;masks/pt_hair_f_09_rear_haircolor.png","기본 색상: brown"
"pt_hair_m_01","hair","short tight curls","candidate","false","layers/pt_hair_m_01.png;layers/pt_hair_m_01_rear.png","masks/pt_hair_m_01_haircolor.png;masks/pt_hair_m_01_rear_haircolor.png","기본 색상: dark brown"
"pt_hair_m_02","hair","short straight cropped hair","candidate","false","layers/pt_hair_m_02.png;layers/pt_hair_m_02_rear.png","masks/pt_hair_m_02_haircolor.png;masks/pt_hair_m_02_rear_haircolor.png","기본 색상: brown"
"pt_hair_m_03","hair","medium wavy ear-length hair","candidate","false","layers/pt_hair_m_03.png;layers/pt_hair_m_03_rear.png","masks/pt_hair_m_03_haircolor.png;masks/pt_hair_m_03_rear_haircolor.png","기본 색상: auburn"
"pt_hair_m_04","hair","후퇴 머리선","candidate","false","layers/pt_hair_m_04.png;layers/pt_hair_m_04_rear.png","masks/pt_hair_m_04_haircolor.png;masks/pt_hair_m_04_rear_haircolor.png","기본 색상: brown; 선택된 생성 리비전: 3"
"pt_hair_m_05","hair","대머리 가장자리","candidate","false","layers/pt_hair_m_05.png;layers/pt_hair_m_05_rear.png","masks/pt_hair_m_05_haircolor.png;masks/pt_hair_m_05_rear_haircolor.png","기본 색상: brown; 선택된 생성 리비전: 3"
"pt_hair_m_06","hair","tonsure ring with fully shaved circular crown","candidate","false","layers/pt_hair_m_06.png;layers/pt_hair_m_06_rear.png","masks/pt_hair_m_06_haircolor.png;masks/pt_hair_m_06_rear_haircolor.png","기본 색상: dark brown"
"pt_hair_m_07","hair","short neatly cropped grey hair","candidate","false","layers/pt_hair_m_07.png;layers/pt_hair_m_07_rear.png","masks/pt_hair_m_07_haircolor.png;masks/pt_hair_m_07_rear_haircolor.png","기본 색상: grey"
"pt_hair_m_08","hair","medium length grey wavy hair","candidate","false","layers/pt_hair_m_08.png;layers/pt_hair_m_08_rear.png","masks/pt_hair_m_08_haircolor.png;masks/pt_hair_m_08_rear_haircolor.png","기본 색상: grey"
"pt_hair_m_09","hair","youthful shaggy uneven hair","candidate","false","layers/pt_hair_m_09.png;layers/pt_hair_m_09_rear.png","masks/pt_hair_m_09_haircolor.png;masks/pt_hair_m_09_rear_haircolor.png","기본 색상: golden brown"
"pt_beard_01","beard","short full chin beard","candidate","false","layers/pt_beard_01.png","masks/pt_beard_01_haircolor.png","기본 색상: dark brown"
"pt_beard_02","beard","long tapering full beard down to y211","candidate","false","layers/pt_beard_02.png","masks/pt_beard_02_haircolor.png","기본 색상: brown"
"pt_beard_03","beard","mustache ONLY, no chin or cheeks","candidate","false","layers/pt_beard_03.png","masks/pt_beard_03_haircolor.png","기본 색상: auburn"
"pt_beard_04","beard","sideburns ONLY at both temples down cheeks, no chin or mustache","candidate","false","layers/pt_beard_04.png","masks/pt_beard_04_haircolor.png","기본 색상: dark brown"
"pt_beard_05","beard","short neatly trimmed close beard with clean edge","candidate","false","layers/pt_beard_05.png","masks/pt_beard_05_haircolor.png","기본 색상: golden brown"
"pt_beard_06","beard","rough uneven medium stubble beard","candidate","false","layers/pt_beard_06.png","masks/pt_beard_06_haircolor.png","기본 색상: brown"
"pt_beard_07","beard","short grey beard","candidate","false","layers/pt_beard_07.png","masks/pt_beard_07_haircolor.png","기본 색상: grey"
"pt_beard_08","beard","long grey beard down to y220","candidate","false","layers/pt_beard_08.png","masks/pt_beard_08_haircolor.png","기본 색상: grey"
"pt_beard_09","beard","깨끗이 면도 / 수염 없음","candidate","true","","","수염 레이어를 합성하지 않는 코드 상태. 빈 PNG를 생성하지 않음."
"pt_beard_10","beard","young sparse beard, a few fine chin and upper-lip hairs","candidate","false","layers/pt_beard_10.png","masks/pt_beard_10_haircolor.png","기본 색상: brown"
